Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,COST,470.92,471.7,457.98,461.8,2995900,,461.8,461.8,0.0,0.0
2022-12-07 05:00:00,COST,459.82,466.97,459.61,462.58,2072600,0.1683,462.19,462.19,0.0,0.0
2022-12-08 05:00:00,COST,463.47,463.89,454.45,462.05,2901000,-0.1141,462.15,462.15,0.0,0.0
2022-12-09 05:00:00,COST,455.99,470.38,451.57,463.59,4211100,0.3324,462.51,462.51,0.0,0.0
2022-12-12 05:00:00,COST,463.31,468.2,461.33,468.06,2276400,0.9648,463.62,463.62,0.0,0.0
2022-12-13 05:00:00,COST,477.05,477.94,462.18,468.56,2626700,0.1066,464.44,464.44,0.0,0.0
2022-12-14 05:00:00,COST,469.2,471.91,461.69,464.07,2145000,-0.9586,464.39,464.39,0.0,0.0
2022-12-15 05:00:00,COST,456.22,457.52,444.53,445.25,3437700,-4.0557,462.0,462.0,0.0,0.0
2022-12-16 05:00:00,COST,442.71,446.09,438.5,442.89,4909200,-0.5303,459.87,459.87,0.0,0.0
2022-12-19 05:00:00,COST,442.38,444.77,437.04,440.18,1939200,-0.6111,457.9,457.9,0.0,0.0
2022-12-20 05:00:00,COST,438.19,441.74,434.33,439.4,1993700,-0.1766,456.22,456.22,0.0,0.0
2022-12-21 05:00:00,COST,440.9,445.04,437.85,443.47,1462400,0.9261,455.16,455.16,0.0,0.0
2022-12-22 05:00:00,COST,440.2,441.88,435.15,440.26,1906100,-0.725,454.01,454.01,0.0,0.0
2022-12-23 05:00:00,COST,439.12,444.55,436.51,444.04,1229500,0.8589,453.3,453.3,0.0,0.0
2022-12-27 05:00:00,COST,445.72,446.01,438.72,440.06,1230800,-0.897,452.42,452.42,0.0,0.0
2022-12-28 05:00:00,COST,439.13,441.94,434.59,434.77,1324100,-1.2017,451.32,451.32,0.0,0.0
2022-12-29 05:00:00,COST,437.3,440.54,435.22,438.17,1465000,0.7815,450.54,450.54,0.0,0.0
2022-12-30 05:00:00,COST,436.36,438.33,432.62,438.14,1803200,-0.0066,449.85,449.85,0.0,0.0
2023-01-03 05:00:00,COST,439.58,440.34,429.88,435.05,1978100,-0.7054,449.07,449.07,0.0,0.0
2023-01-04 05:00:00,COST,438.79,441.03,434.38,438.19,2097300,0.7236,448.53,448.53,0.0,0.0
2023-01-05 05:00:00,COST,436.26,438.07,431.53,432.08,2169300,-1.3952,447.75,447.75,0.0,0.0
2023-01-06 05:00:00,COST,444.45,464.93,443.63,463.45,5174500,7.2592,448.46,448.46,0.0,0.0
2023-01-09 05:00:00,COST,463.5,467.29,458.91,459.49,2384800,-0.8532,448.94,448.94,0.0,0.0
2023-01-10 05:00:00,COST,457.95,462.7,456.35,462.04,1649900,0.5535,449.48,449.48,0.0,0.0
2023-01-11 05:00:00,COST,461.01,465.03,459.84,464.83,1576400,0.6045,450.1,450.1,0.0,0.0
