Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,WMT,48.51,48.73,47.87,48.09,20625600,,48.09,48.09,0.0,0.0
2022-12-07 05:00:00,WMT,48.28,48.51,47.74,47.84,17550300,-0.5204,47.96,47.96,0.0,0.0
2022-12-08 05:00:00,WMT,48.03,48.07,47.7,47.91,13512600,0.1548,47.94,47.94,0.186667,0.0
2022-12-09 05:00:00,WMT,47.49,47.57,46.76,46.79,27929400,-2.3323,47.66,47.66,0.0,0.0
2022-12-12 05:00:00,WMT,46.98,47.69,46.87,47.66,19432200,1.865,47.66,47.66,0.0,0.0
2022-12-13 05:00:00,WMT,48.3,48.37,47.25,47.49,23408100,-0.3581,47.63,47.63,0.0,0.0
2022-12-14 05:00:00,WMT,47.37,47.83,47.0,47.23,20334600,-0.556,47.57,47.57,0.0,0.0
2022-12-15 05:00:00,WMT,46.88,47.15,46.25,46.81,17514000,-0.8932,47.48,47.48,0.0,0.0
2022-12-16 05:00:00,WMT,46.52,46.6,45.91,45.97,40343100,-1.7956,47.31,47.31,0.0,0.0
2022-12-19 05:00:00,WMT,46.05,46.23,45.64,45.98,15067500,0.035,47.18,47.18,0.0,0.0
2022-12-20 05:00:00,WMT,46.02,46.58,45.81,46.39,17009400,0.8754,47.11,47.11,0.0,0.0
2022-12-21 05:00:00,WMT,46.47,46.99,46.45,46.75,13726500,0.7845,47.08,47.08,0.0,0.0
2022-12-22 05:00:00,WMT,46.62,46.69,45.7,46.2,13082400,-1.171,47.01,47.01,0.0,0.0
2022-12-23 05:00:00,WMT,46.06,46.31,45.82,46.3,9547500,0.2021,46.96,46.96,0.0,0.0
2022-12-27 05:00:00,WMT,46.38,46.52,46.11,46.31,10044600,0.0279,46.91,46.91,0.0,0.0
2022-12-28 05:00:00,WMT,46.2,46.26,45.38,45.5,15246300,-1.7523,46.83,46.83,0.0,0.0
2022-12-29 05:00:00,WMT,45.77,46.05,45.65,45.77,9171900,0.6087,46.76,46.76,0.0,0.0
2022-12-30 05:00:00,WMT,45.58,45.72,45.34,45.66,11505900,-0.2532,46.7,46.7,0.0,0.0
2023-01-03 05:00:00,WMT,45.9,46.28,45.76,46.24,17249700,1.2765,46.68,46.68,0.0,0.0
2023-01-04 05:00:00,WMT,46.18,46.39,45.75,46.29,13338300,0.1114,46.66,46.66,0.0,0.0
2023-01-05 05:00:00,WMT,46.2,46.41,45.94,46.14,13274400,-0.3408,46.63,46.63,0.0,0.0
2023-01-06 05:00:00,WMT,46.56,47.51,46.45,47.27,21231900,2.4499,46.66,46.66,0.0,0.0
2023-01-09 05:00:00,WMT,47.12,47.61,46.63,46.68,17756700,-1.2468,46.66,46.66,0.0,0.0
2023-01-10 05:00:00,WMT,46.67,46.84,46.28,46.65,11970600,-0.0621,46.66,46.66,0.0,0.0
2023-01-11 05:00:00,WMT,46.93,47.07,46.61,47.06,14834700,0.8767,46.68,46.68,0.0,0.0
2023-01-12 05:00:00,WMT,47.15,47.15,46.5,46.63,12472800,-0.9033,46.68,46.68,0.0,0.0
2023-01-13 05:00:00,WMT,46.86,46.96,46.33,46.79,13699800,0.3315,46.68,46.68,0.0,0.0
2023-01-17 05:00:00,WMT,46.79,46.92,46.43,46.5,15122400,-0.6057,46.67,46.67,0.0,0.0
2023-01-18 05:00:00,WMT,46.43,46.45,45.24,45.35,22674300,-2.4721,46.63,46.63,0.0,0.0
2023-01-19 05:00:00,WMT,45.53,45.57,44.69,44.71,17342100,-1.4272,46.56,46.56,0.0,0.0
