Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,BAC,32.12,32.22,30.11,30.66,84085700,,30.66,30.66,0.0,0.0
2022-12-07 05:00:00,BAC,30.28,30.59,30.06,30.42,49234100,-0.7879,30.54,30.54,0.0,0.0
2022-12-08 05:00:00,BAC,30.63,30.65,29.9,30.14,45491100,-0.9163,30.41,30.41,0.0,0.0
2022-12-09 05:00:00,BAC,29.83,30.29,29.81,30.09,36985500,-0.185,30.33,30.33,0.0,0.0
2022-12-12 05:00:00,BAC,30.02,30.46,29.79,30.41,41060500,1.0809,30.34,30.34,0.0,0.0
2022-12-13 05:00:00,BAC,31.17,31.28,30.26,30.43,54804800,0.0611,30.36,30.36,0.0,0.0
2022-12-14 05:00:00,BAC,30.48,30.66,29.88,29.99,48819500,-1.4351,30.31,30.31,0.0,0.0
2022-12-15 05:00:00,BAC,29.5,29.72,29.26,29.52,49027600,-1.5799,30.21,30.21,0.0,0.0
2022-12-16 05:00:00,BAC,29.38,29.67,29.13,29.45,61795200,-0.2203,30.12,30.12,0.0,0.0
2022-12-19 05:00:00,BAC,29.51,29.95,29.48,29.79,38374100,1.1357,30.09,30.09,0.0,0.0
2022-12-20 05:00:00,BAC,30.1,30.27,29.86,29.91,35561100,0.4055,30.07,30.07,0.0,0.0
2022-12-21 05:00:00,BAC,30.22,30.54,30.11,30.36,32544000,1.5222,30.1,30.1,0.0,0.0
2022-12-22 05:00:00,BAC,30.22,30.27,29.61,30.09,30234400,-0.8874,30.1,30.1,0.0,0.0
2022-12-23 05:00:00,BAC,30.1,30.27,29.91,30.17,21378600,0.247,30.1,30.1,0.0,0.0
2022-12-27 05:00:00,BAC,30.2,30.35,29.99,30.22,22776100,0.1848,30.11,30.11,0.0,0.0
2022-12-28 05:00:00,BAC,30.26,30.63,30.22,30.45,30541000,0.7378,30.13,30.13,0.0,0.0
2022-12-29 05:00:00,BAC,30.56,30.81,30.43,30.79,22252900,1.1291,30.17,30.17,0.0,0.0
2022-12-30 05:00:00,BAC,30.75,30.94,30.53,30.77,28198900,-0.0603,30.2,30.2,0.0,0.0
2023-01-03 05:00:00,BAC,30.88,31.67,30.86,31.14,35221500,1.1775,30.25,30.25,0.0,0.0
2023-01-04 05:00:00,BAC,31.5,32.35,31.43,31.72,41998500,1.88,30.33,30.33,0.0,0.0
2023-01-05 05:00:00,BAC,31.52,31.72,31.2,31.66,34177000,-0.205,30.39,30.39,0.0,0.0
