Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,JPM,123.89,125.48,120.62,122.21,13966700,,122.21,122.21,0.0,0.0
2022-12-07 05:00:00,JPM,121.95,123.6,121.04,122.13,11739400,-0.0684,122.17,122.17,0.0,0.0
2022-12-08 05:00:00,JPM,122.9,123.5,122.07,123.41,8907300,1.0494,122.59,122.59,0.0,0.0
2022-12-09 05:00:00,JPM,122.78,124.23,122.59,122.74,7957800,-0.5418,122.62,122.62,0.0,0.0
2022-12-12 05:00:00,JPM,122.97,125.06,122.22,124.65,8841600,1.5512,123.03,123.03,0.0,0.0
2022-12-13 05:00:00,JPM,127.14,127.32,123.6,124.53,10025400,-0.0969,123.28,123.28,0.0,0.0
2022-12-14 05:00:00,JPM,124.25,126.04,123.3,123.9,9966100,-0.4997,123.37,123.37,0.0,0.0
2022-12-15 05:00:00,JPM,121.81,122.67,119.85,120.83,12087800,-2.4811,123.05,123.05,0.0,0.0
2022-12-16 05:00:00,JPM,119.95,120.64,119.28,120.08,21133700,-0.6226,122.72,122.72,0.0,0.0
2022-12-19 05:00:00,JPM,120.41,121.97,119.89,120.79,9017200,0.5956,122.53,122.53,0.0,0.0
2022-12-20 05:00:00,JPM,121.64,122.64,120.92,121.38,8549900,0.4844,122.42,122.42,0.0,0.0
2022-12-21 05:00:00,JPM,122.76,123.5,122.38,122.74,8051700,1.1248,122.45,122.45,0.0,0.0
2022-12-22 05:00:00,JPM,121.76,121.94,119.26,121.35,8648200,-1.135,122.37,122.37,0.0,0.0
2022-12-23 05:00:00,JPM,121.28,122.07,120.4,121.93,5091900,0.4745,122.33,122.33,0.0,0.0
2022-12-27 05:00:00,JPM,122.2,122.8,121.25,122.35,5411000,0.3504,122.34,122.34,0.0,0.0
2022-12-28 05:00:00,JPM,122.46,123.9,121.68,123.02,8827700,0.5465,122.38,122.38,0.0,0.0
2022-12-29 05:00:00,JPM,123.46,123.77,122.88,123.73,6585200,0.5738,122.46,122.46,0.0,0.0
2022-12-30 05:00:00,JPM,123.35,124.76,123.0,124.54,9292500,0.6606,122.57,122.57,0.0,0.0
2023-01-03 05:00:00,JPM,125.6,127.0,124.35,125.49,11054800,0.7606,122.73,122.73,0.0,0.0
2023-01-04 05:00:00,JPM,126.3,127.87,125.91,126.66,11687600,0.9325,122.92,122.92,0.0,0.0
2023-01-05 05:00:00,JPM,126.92,126.97,125.09,126.63,8381300,-0.0222,123.1,123.1,1.0,0.0
2023-01-06 05:00:00,JPM,127.36,129.47,125.83,129.06,10029100,1.9136,123.37,123.37,0.0,0.0
2023-01-09 05:00:00,JPM,129.68,129.94,128.07,128.52,8482300,-0.4132,123.6,123.6,0.0,0.0
2023-01-10 05:00:00,JPM,128.92,129.79,128.47,129.68,9048700,0.8954,123.85,123.85,0.0,0.0
2023-01-11 05:00:00,JPM,129.96,130.75,129.21,130.64,8703700,0.7431,124.12,124.12,0.0,0.0
2023-01-12 05:00:00,JPM,130.98,131.79,130.26,130.51,11001700,-0.1003,124.37,124.37,0.0,0.0
2023-01-13 05:00:00,JPM,126.87,134.25,126.12,133.8,20200000,2.5235,124.72,124.72,0.0,0.0
2023-01-17 05:00:00,JPM,132.08,132.43,130.26,131.73,14292900,-1.5453,124.97,124.97,0.0,0.0
2023-01-18 05:00:00,JPM,129.97,131.67,127.63,127.78,13392600,-3.0042,125.06,125.06,0.0,0.0
2023-01-19 05:00:00,JPM,126.61,127.15,124.99,126.07,13303400,-1.3327,125.1,125.1,0.0,0.0
2023-01-20 05:00:00,JPM,126.46,126.77,124.95,126.38,13092500,0.2449,125.14,125.14,0.0,0.0
2023-01-23 05:00:00,JPM,126.42,129.08,126.14,128.43,10487100,1.6213,125.24,125.24,0.0,0.0
2023-01-24 05:00:00,JPM,127.64,131.26,126.31,129.53,6945000,0.8596,125.37,125.37,0.0,0.0
2023-01-25 05:00:00,JPM,129.16,130.16,128.41,130.16,8967000,0.4839,125.51,125.51,0.0,0.0
2023-01-26 05:00:00,JPM,130.44,131.04,129.45,130.97,7487600,0.6182,125.67,125.67,0.0,0.0
2023-01-27 05:00:00,JPM,131.56,132.16,130.75,131.28,7489900,0.2429,125.82,125.82,0.0,0.0
2023-01-30 05:00:00,JPM,130.26,131.07,129.97,130.17,6729300,-0.8481,125.94,125.94,0.0,0.0
2023-01-31 05:00:00,JPM,130.87,131.05,129.35,130.95,9188700,0.5966,126.07,126.07,0.0,0.0
2023-02-01 05:00:00,JPM,129.31,131.81,129.23,130.6,8841800,-0.2644,126.19,126.19,0.0,0.0
2023-02-02 05:00:00,JPM,130.98,131.42,129.11,129.99,11822100,-0.4656,126.28,126.28,0.0,0.0
2023-02-03 05:00:00,JPM,129.28,133.16,129.24,132.0,11501200,1.5475,126.42,126.42,0.0,0.0
2023-02-06 05:00:00,JPM,131.2,133.08,131.01,132.78,8406200,0.5883,126.58,126.58,0.0,0.0
2023-02-07 05:00:00,JPM,132.28,135.05,132.09,134.4,10447900,1.219,126.76,126.76,0.0,0.0
2023-02-08 05:00:00,JPM,133.46,134.76,133.12,133.45,6958000,-0.7031,126.91,126.91,0.0,0.0
2023-02-09 05:00:00,JPM,133.9,134.11,130.86,131.38,6443100,-1.5564,127.01,127.01,0.0,0.0
2023-02-10 05:00:00,JPM,130.78,132.18,129.67,131.96,6582900,0.4415,127.12,127.12,0.0,0.0
2023-02-13 05:00:00,JPM,132.2,133.54,131.68,133.39,7134600,1.0848,127.25,127.25,0.0,0.0
2023-02-14 05:00:00,JPM,133.32,134.55,132.48,133.98,9249400,0.4419,127.39,127.39,0.0,0.0
2023-02-15 05:00:00,JPM,132.49,134.62,132.2,134.54,6728300,0.419,127.54,127.54,0.0,0.0
2023-02-16 05:00:00,JPM,133.71,134.16,132.56,132.69,8165300,-1.3769,127.64,127.64,0.0,0.0
2023-02-17 05:00:00,JPM,131.9,133.63,131.05,133.08,7948800,0.2962,127.86,127.75,0.0,0.0
2023-02-21 05:00:00,JPM,131.63,132.24,129.82,130.64,9996300,-1.8349,128.03,127.8,0.0,0.0
2023-02-22 05:00:00,JPM,129.97,130.45,128.59,129.64,11107500,-0.7663,128.15,127.84,0.0,0.0
2023-02-23 05:00:00,JPM,129.8,131.14,129.06,130.68,8068000,0.8011,128.31,127.89,0.0,0.0
2023-02-24 05:00:00,JPM,130.15,132.26,129.98,131.86,9126900,0.9021,128.45,127.96,0.0,0.0
2023-02-27 05:00:00,JPM,132.96,134.08,132.59,133.01,10014700,0.8728,128.62,128.05,0.0,0.0
2023-02-28 05:00:00,JPM,133.74,134.5,132.76,134.12,11019800,0.8371,128.83,128.16,0.0,0.0
2023-03-01 05:00:00,JPM,132.95,134.22,132.67,133.37,7139200,-0.5581,129.08,128.25,0.0,0.0
2023-03-02 05:00:00,JPM,133.08,133.26,130.55,131.99,11106800,-1.0382,129.32,128.31,0.0,0.0
2023-03-03 05:00:00,JPM,132.4,134.48,132.0,134.41,9513100,1.836,129.59,128.41,0.0,0.0
2023-03-06 05:00:00,JPM,134.2,134.76,133.47,133.62,9261300,-0.5847,129.83,128.5,0.0,0.0
2023-03-07 05:00:00,JPM,132.87,133.15,128.94,129.69,11747600,-2.9408,129.97,128.52,0.0,0.0
2023-03-08 05:00:00,JPM,129.11,129.67,128.08,128.93,10002500,-0.5915,130.12,128.52,0.0,0.0
2023-03-09 05:00:00,JPM,127.95,128.51,120.9,121.95,25888100,-5.4136,130.12,128.42,0.0,0.0
2023-03-10 05:00:00,JPM,120.66,126.55,119.59,125.04,37599700,2.5395,130.18,128.37,0.0,0.0
2023-03-13 04:00:00,JPM,122.76,125.26,121.08,122.8,42901100,-1.7957,130.17,128.28,0.0,0.0
2023-03-14 04:00:00,JPM,126.57,126.8,122.84,125.95,29648100,2.5676,130.22,128.25,0.0,0.0
2023-03-15 04:00:00,JPM,122.55,122.56,118.57,120.0,34280600,-4.7244,130.13,128.13,0.0,0.0
2023-03-16 04:00:00,JPM,119.77,123.45,117.91,122.33,24558500,1.9414,130.06,128.04,0.0,0.0
2023-03-17 04:00:00,JPM,120.11,120.21,117.37,117.71,38396000,-3.7782,129.89,127.9,0.0,0.0
2023-03-20 04:00:00,JPM,118.81,121.13,117.9,118.95,22875500,1.0571,129.73,127.77,0.0,0.0
2023-03-21 04:00:00,JPM,122.18,123.25,121.81,122.14,17807800,2.6821,129.59,127.69,0.0,0.0
2023-03-22 04:00:00,JPM,122.15,122.25,118.9,118.99,17250200,-2.5814,129.4,127.57,0.0,0.0
2023-03-23 04:00:00,JPM,119.66,121.19,117.91,118.67,16677600,-0.2673,129.18,127.45,0.0,0.0
2023-03-24 04:00:00,JPM,117.54,117.59,115.18,116.87,22311100,-1.5216,128.91,127.31,0.0,0.0
2023-03-27 04:00:00,JPM,118.63,121.05,118.16,120.22,18853900,2.8661,128.7,127.22,0.0,0.0
2023-03-28 04:00:00,JPM,120.42,121.01,119.51,120.58,10820500,0.3035,128.44,127.13,0.0,0.0
2023-03-29 04:00:00,JPM,121.72,121.83,119.54,120.82,14595300,0.2017,128.22,127.05,0.0,0.0
2023-03-30 04:00:00,JPM,121.58,121.74,119.43,120.46,12134700,-0.302,128.07,126.97,0.0,0.0
2023-03-31 04:00:00,JPM,121.31,121.95,120.55,121.92,13105200,1.2117,127.99,126.9,0.0,0.0
2023-04-03 04:00:00,JPM,121.54,122.98,121.08,121.78,11775400,-0.1151,127.9,126.84,0.0,0.0
