Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,MSFT,244.96,245.98,238.09,239.4,22463700,,239.4,239.4,0.0,0.0
2022-12-07 05:00:00,MSFT,239.11,240.41,236.55,238.66,20481500,-0.306,239.03,239.03,0.0,0.0
2022-12-08 05:00:00,MSFT,239.12,242.93,237.38,241.62,22611800,1.2399,239.89,239.89,0.0,0.0
2022-12-09 05:00:00,MSFT,238.99,242.51,238.46,239.69,20609700,-0.8003,239.84,239.84,0.0,0.0
2022-12-12 05:00:00,MSFT,241.67,246.64,241.4,246.61,30665100,2.8889,241.2,241.2,0.0,0.0
2022-12-13 05:00:00,MSFT,255.58,257.76,247.16,250.92,42196900,1.7465,242.82,242.82,0.0,0.0
2022-12-14 05:00:00,MSFT,251.13,256.46,248.37,251.21,35410900,0.1168,244.02,244.02,0.0,0.0
2022-12-15 05:00:00,MSFT,247.8,248.26,241.56,243.2,35560400,-3.1918,243.91,243.91,0.0,0.0
2022-12-16 05:00:00,MSFT,242.75,244.01,237.82,238.98,86102000,-1.7349,243.37,243.37,0.0,0.0
2022-12-19 05:00:00,MSFT,239.14,239.48,233.14,234.84,29696400,-1.7328,242.51,242.51,0.0,0.0
2022-12-20 05:00:00,MSFT,233.81,237.24,232.85,236.15,25150800,0.5614,241.93,241.93,0.0,0.0
2022-12-21 05:00:00,MSFT,236.05,239.88,234.5,238.72,23690600,1.0877,241.67,241.67,0.0,0.0
2022-12-22 05:00:00,MSFT,235.63,236.34,228.41,232.63,28651700,-2.5529,240.97,240.97,0.0,0.0
2022-12-23 05:00:00,MSFT,230.6,233.29,228.48,233.16,21207000,0.2267,240.41,240.41,0.0,0.0
2022-12-27 05:00:00,MSFT,233.13,233.35,230.32,231.43,16688600,-0.7414,239.81,239.81,0.0,0.0
2022-12-28 05:00:00,MSFT,231.36,234.12,228.7,229.05,17457100,-1.0255,239.14,239.14,0.0,0.0
2022-12-29 05:00:00,MSFT,230.15,236.27,230.15,235.38,19770700,2.763,238.92,238.92,0.0,0.0
2022-12-30 05:00:00,MSFT,232.65,234.36,231.13,234.22,21938500,-0.4938,238.66,238.66,0.0,0.0
2023-01-03 05:00:00,MSFT,237.4,240.01,231.86,233.99,25740000,-0.1001,238.41,238.41,0.0,0.0
2023-01-04 05:00:00,MSFT,226.86,227.43,220.68,223.75,50623400,-4.3743,237.68,237.68,0.0,0.0
2023-01-05 05:00:00,MSFT,221.89,222.24,216.58,217.12,39585600,-2.9638,236.7,236.7,0.0,0.0
2023-01-06 05:00:00,MSFT,217.79,220.49,214.23,219.68,43613600,1.1785,235.93,235.93,0.0,0.0
2023-01-09 05:00:00,MSFT,221.16,225.84,221.12,221.82,27369800,0.9736,235.31,235.31,0.0,0.0
2023-01-10 05:00:00,MSFT,222.44,225.91,222.02,223.51,27033900,0.7617,234.82,234.82,0.0,0.0
2023-01-11 05:00:00,MSFT,225.89,230.44,225.71,230.26,28669300,3.0238,234.64,234.64,0.0,0.0
2023-01-12 05:00:00,MSFT,229.77,234.3,228.11,232.94,27269500,1.1621,234.57,234.57,0.0,0.0
2023-01-13 05:00:00,MSFT,231.47,233.78,229.43,233.64,21333300,0.3019,234.54,234.54,0.0,0.0
2023-01-17 05:00:00,MSFT,232.41,235.28,231.55,234.74,29831300,0.4682,234.55,234.55,0.0,0.0
2023-01-18 05:00:00,MSFT,235.93,236.72,230.02,230.3,30028700,-1.8889,234.4,234.4,0.0,0.0
2023-01-19 05:00:00,MSFT,228.32,230.02,225.29,226.51,28623000,-1.6454,234.14,234.14,0.0,0.0
2023-01-20 05:00:00,MSFT,229.38,235.12,229.03,234.61,35389800,3.5743,234.15,234.15,0.0,0.0
2023-01-23 05:00:00,MSFT,235.47,239.45,234.05,236.92,31934000,0.9824,234.24,234.24,0.0,0.0
2023-01-24 05:00:00,MSFT,236.84,238.25,234.83,236.39,40234400,-0.2226,234.3,234.3,0.0,0.0
2023-01-25 05:00:00,MSFT,229.0,237.62,225.51,234.99,66526600,-0.5908,234.32,234.32,0.0,0.0
2023-01-26 05:00:00,MSFT,237.96,242.51,236.35,242.21,33454500,3.0714,234.55,234.55,0.0,0.0
2023-01-27 05:00:00,MSFT,243.18,244.0,241.07,242.37,26498900,0.0645,234.77,234.77,0.0,0.0
2023-01-30 05:00:00,MSFT,238.8,239.87,236.54,237.04,25867400,-2.1962,234.83,234.83,0.0,0.0
2023-01-31 05:00:00,MSFT,237.77,242.16,237.28,242.02,26541100,2.1013,235.02,235.02,0.0,0.0
2023-02-01 05:00:00,MSFT,242.21,249.22,239.74,246.85,31259900,1.9934,235.32,235.32,0.0,0.0
2023-02-02 05:00:00,MSFT,252.78,258.51,251.24,258.42,39940400,4.6885,235.9,235.9,0.0,0.0
2023-02-03 05:00:00,MSFT,253.48,258.03,251.1,252.32,29077300,-2.3621,236.3,236.3,0.0,0.0
2023-02-06 05:00:00,MSFT,251.43,252.27,248.83,250.77,22518000,-0.6116,236.64,236.64,0.0,0.0
2023-02-07 05:00:00,MSFT,254.45,262.49,254.01,261.31,50841400,4.2022,237.22,237.22,0.0,0.0
2023-02-08 05:00:00,MSFT,266.82,270.3,259.99,260.5,54686000,-0.3102,237.75,237.75,0.0,0.0
2023-02-09 05:00:00,MSFT,267.41,267.58,256.66,257.46,42375100,-1.166,238.18,238.18,0.0,0.0
2023-02-10 05:00:00,MSFT,255.42,257.92,254.57,256.96,25818500,-0.1973,238.59,238.59,0.0,0.0
2023-02-13 05:00:00,MSFT,261.39,268.19,260.91,264.98,44630900,3.1243,239.15,239.15,0.0,0.0
2023-02-14 05:00:00,MSFT,266.3,268.55,262.99,265.81,37047900,0.3133,239.71,239.71,0.0,0.0
2023-02-15 05:00:00,MSFT,262.71,265.07,260.62,263.69,28922400,-0.7993,240.2,240.2,0.68,0.0
2023-02-16 05:00:00,MSFT,258.5,261.16,256.43,256.67,29603600,-2.6623,240.53,240.53,0.0,0.0
2023-02-17 05:00:00,MSFT,253.97,254.65,250.65,252.67,30000100,-1.5602,240.79,240.77,0.0,0.0
2023-02-21 05:00:00,MSFT,249.16,250.15,246.33,247.39,28397400,-2.0887,240.97,240.89,0.0,0.0
2023-02-22 05:00:00,MSFT,248.78,249.02,245.11,246.25,22491100,-0.4591,241.06,241.0,0.0,0.0
2023-02-23 05:00:00,MSFT,250.22,251.47,245.24,249.44,29219100,1.2962,241.26,241.15,0.0,0.0
2023-02-24 05:00:00,MSFT,244.73,245.75,242.91,244.01,24990900,-2.1784,241.2,241.2,0.0,0.0
2023-02-27 05:00:00,MSFT,247.18,247.53,244.18,244.93,21190000,0.3772,241.08,241.27,0.0,0.0
2023-02-28 05:00:00,MSFT,243.86,246.23,243.53,244.21,22491000,-0.2958,240.94,241.32,0.0,0.0
2023-03-01 05:00:00,MSFT,245.52,245.68,240.65,241.12,27565300,-1.2629,240.9,241.32,0.0,0.0
2023-03-02 05:00:00,MSFT,241.4,246.14,240.48,245.86,24808200,1.9653,241.04,241.4,0.0,0.0
2023-03-03 05:00:00,MSFT,246.92,250.28,246.13,249.95,30760100,1.6646,241.34,241.54,0.0,0.0
2023-03-06 05:00:00,MSFT,251.07,254.68,250.63,251.5,24109800,0.6189,241.65,241.7,0.0,0.0
2023-03-07 05:00:00,MSFT,250.94,252.3,248.09,248.84,21473200,-1.0589,241.85,241.82,0.0,0.0
2023-03-08 05:00:00,MSFT,248.73,249.22,245.57,248.4,17340200,-0.1771,242.17,241.92,0.0,0.0
2023-03-09 05:00:00,MSFT,250.47,254.13,246.32,247.05,26653400,-0.5439,242.45,242.0,0.0,0.0
2023-03-10 05:00:00,MSFT,245.83,247.51,242.42,243.39,28333900,-1.4783,242.68,242.02,0.0,0.0
2023-03-13 04:00:00,MSFT,242.23,252.52,240.59,248.61,33339700,2.1441,243.08,242.12,0.0,0.0
2023-03-14 04:00:00,MSFT,251.38,255.61,250.51,255.34,33620300,2.7056,243.47,242.32,0.0,0.0
2023-03-15 04:00:00,MSFT,254.55,260.91,253.79,259.89,46028000,1.783,243.99,242.58,0.0,0.0
2023-03-16 04:00:00,MSFT,259.67,270.78,257.78,270.43,54768800,4.0536,244.72,242.98,0.0,0.0
2023-03-17 04:00:00,MSFT,272.44,277.41,270.54,273.59,69527400,1.1695,245.71,243.42,0.0,0.0
2023-03-20 04:00:00,MSFT,271.19,271.68,264.21,266.54,43466600,-2.5767,246.7,243.74,0.0,0.0
2023-03-21 04:00:00,MSFT,269.13,269.25,263.89,268.06,34558700,0.5694,247.67,244.08,0.0,0.0
2023-03-22 04:00:00,MSFT,267.68,275.16,266.49,266.6,34873300,-0.5442,248.57,244.39,0.0,0.0
2023-03-23 04:00:00,MSFT,272.13,275.18,269.45,271.86,36610900,1.9722,249.53,244.76,0.0,0.0
2023-03-24 04:00:00,MSFT,271.44,274.76,269.53,274.7,28172000,1.048,250.42,245.16,0.0,0.0
2023-03-27 04:00:00,MSFT,274.64,275.58,269.76,270.6,26840200,-1.4934,251.17,245.5,0.0,0.0
2023-03-28 04:00:00,MSFT,270.02,270.37,266.36,269.48,21878600,-0.4161,251.89,245.81,0.0,0.0
2023-03-29 04:00:00,MSFT,273.13,275.26,272.59,274.65,25087000,1.9184,252.69,246.18,0.0,0.0
2023-03-30 04:00:00,MSFT,278.29,278.51,275.6,278.11,25053400,1.262,253.65,246.58,0.0,0.0
2023-03-31 04:00:00,MSFT,277.8,283.22,277.08,282.27,32766000,1.4962,254.76,247.03,0.0,0.0
2023-04-03 04:00:00,MSFT,280.53,282.24,278.01,281.23,24883300,-0.3712,255.69,247.45,0.0,0.0
2023-04-04 04:00:00,MSFT,281.23,284.38,279.7,281.18,25824300,-0.0174,256.58,247.86,0.0,0.0
2023-04-05 04:00:00,MSFT,279.87,281.15,277.01,278.4,22064800,-0.9889,257.42,248.23,0.0,0.0
2023-04-06 04:00:00,MSFT,277.29,285.97,276.13,285.5,29770300,2.5533,258.43,248.67,0.0,0.0
