Ticker,Sector,Start_Date,End_Date,Start_Price,End_Price,Daily_Return_%,Volatility_%,Total_Return_%,Alpha_%
^GSPC,Benchmark,2022-12-06,2025-12-04,3941.26,6857.12,0.0785,0.9606,73.9829,
NVDA,Technology,2022-12-06,2025-12-04,15.97,183.38,0.3758,3.1987,1048.278,0.2974
AAPL,Technology,2022-12-06,2025-12-04,140.79,280.7,0.1053,1.6439,99.375,0.0269
MSFT,Technology,2022-12-06,2025-12-04,239.4,480.84,0.1037,1.4758,100.8521,0.0253
JPM,Financial,2022-12-06,2025-12-04,122.21,316.1,0.1369,1.4382,158.6531,0.0585
V,Financial,2022-12-06,2025-12-04,204.41,327.1,0.0693,1.1564,60.0215,-0.0091
BAC,Financial,2022-12-06,2025-12-04,30.66,54.16,0.0887,1.6067,76.6471,0.0103
WMT,Consumer Goods,2022-12-06,2025-12-04,48.09,114.84,0.1238,1.2544,138.8022,0.0454
COST,Consumer Goods,2022-12-06,2025-12-04,461.8,895.86,0.0962,1.2581,93.9931,0.0177
PG,Consumer Goods,2022-12-06,2025-12-04,138.39,145.36,0.0117,1.0176,5.0365,-0.0667
